10000; 0.187
20000; 0.804
30000; 1.544
40000; 2.890
50000; 4.553
60000; 5.352
70000; 8.984
80000; 12.551
90000; 13.946
100000; 19.100
10000; 0.409
20000; 2.599
30000; 2.973
40000; 6.992
50000; 8.416
60000; 12.438
70000; 20.413
80000; 30.210
90000; 31.202
100000; 16.280
